9X JALWA,207,Hindi,Music,224.2.2.4,239.11.11.15,3428,10038,FALSE,ERROR,TRUE,Trans01-13012,https://192.168.200.125:12000/msos/master/t8/9X_JALWA/9X_JALWA.m3u8,,,,,,,,,,
Anjan TV,567,Hindi,Infotainment,224.2.2.3,239.11.11.16,3180,15016,FALSE,BUSY,TRUE,Trans07-13022,https://192.168.200.125:12000/msos/master/t13/Anjan_TV/Anjan_TV.m3u8,,,,,,,,,,working 
Chutti Tv,531,Tamil,Kids,224.2.2.26,239.11.11.11,1240,10026,,BUSY,TRUE,Trans04-13011,https://192.168.200.125:12000/msos/master/t10/Chutti_Tv/Chutti_Tv.m3u8,,,,,,,,,,working 
Colors Cineplex HD,164,Hindi,Movies,224.2.2.34,239.11.11.10,5016,10013,TRUE,BUSY,TRUE,Trans02-13010,https://192.168.200.125:12000/msos/master/t9/Colors_Cineplex_HD/Colors_Cineplex_HD.m3u8,,,,,,,,,,working 
DD Punjabi,890,Punjabi,GEC,224.2.2.3,239.11.11.16,3140,15024,FALSE,ERROR,TRUE,Trans07-13022,https://192.168.200.125:12000/msos/master/t13/DD_Punjabi/DD_Punjabi.m3u8,,,,,,,,,,
DIVYA,752,Hindi,Devotional,224.2.2.4,239.11.11.15,3116,10055,,PROGRESS,TRUE,Trans01-13012,https://192.168.200.125:12000/msos/master/t8/DIVYA/DIVYA.m3u8,,,,,,,,,,
ETV Plus,445,Telugu,GEC,224.2.2.38,239.11.11.11,3010,10099,,BUSY,TRUE,Trans04-13011,https://192.168.200.125:12000/msos/master/t10/ETV_Plus/ETV_Plus.m3u8,,,,,,,,,,working
Good Times,3333,English,Lifestyle,224.2.2.42,239.11.11.10,3008,10137,FALSE,BUSY,TRUE,Trans02-13010,https://192.168.200.125:12000/msos/master/t9/Good_Times/Good_Times.m3u8,,,,,,,,,,
KALAIGNAR ISAIARUVI,544,Tamil,Music,224.2.2.40,239.11.11.11,3007,10150,,BUSY,TRUE,Trans04-13011,https://192.168.200.125:12000/msos/master/t10/KALAIGNAR_ISAIARUVI/KALAIGNAR_ISAIARUVI.m3u8,,,,,,,,,,working
MK TELEVISION,546,Tamil,Movies,224.2.2.5,239.11.11.15,3744,10254,,BUSY,TRUE,Trans06-13013,https://192.168.200.125:12000/msos/master/t12/MK_TELEVISION/MK_TELEVISION.m3u8,,,,,,,,,,working
News 1 India,275,Hindi,News,224.2.2.4,239.11.11.15,3568,10036,FALSE,BUSY,TRUE,Trans01-13012,https://192.168.200.125:12000/msos/master/t8/News_1_India/News_1_India.m3u8,,,,,,,,,,working
NTV,481,Telugu,News,224.2.2.3,239.11.11.16,3408,15010,FALSE,BUSY,TRUE,Trans01-13012,https://192.168.200.125:12000/msos/master/t8/NTV/NTV.m3u8,,,,,,,,,,working
PASAND TV,976,Hindi,Infotainment,224.2.2.5,239.11.11.15,3360,10123,,BUSY,TRUE,Trans06-13013,https://192.168.200.125:12000/msos/master/t12/PASAND_TV/PASAND_TV.m3u8,,,,,,,,,,working
Sadhna Prime News,299,Hindi,News,224.2.2.4,239.11.11.15,3492,10134,,ERROR,TRUE,Trans01-13012,https://192.168.200.125:12000/msos/master/t8/Sadhna_Prime_News/Sadhna_Prime_News.m3u8,,,,,,,,,,
SHEMAROO MARATHIBANA,194,Marathi,Movies,224.2.2.4,239.11.11.15,3484,10305,,BUSY,TRUE,Trans01-13012,https://192.168.200.125:12000/msos/master/t8/SHEMAROO_MARATHIBANA/SHEMAROO_MARATHIBANA.m3u8,,,,,,,,,,working
